Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Warkworth West","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",174,
"Warkworth West","Bicycle","Total people - age group","Total people - sex","2018",3,
"Warkworth West","Walk or jog","Total people - age group","Total people - sex","2018",174,
"Warkworth West","School bus","Total people - age group","Total people - sex","2018",36,
"Warkworth West","Public bus","Total people - age group","Total people - sex","2018",3,
"Warkworth West","Train","Total people - age group","Total people - sex","2018",0,
"Warkworth West","Ferry","Total people - age group","Total people - sex","2018",0,
"Warkworth West","Other","Total people - age group","Total people - sex","2018",6,
"Puhoi Valley","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",849,
"Puhoi Valley","Study at home","Total people - age group","Total people - sex","2018",57,
"Puhoi Valley","Drive a car, truck or van","Total people - age group","Total people - sex","2018",87,
"Puhoi Valley","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",342,
"Puhoi Valley","Bicycle","Total people - age group","Total people - sex","2018",3,
"Puhoi Valley","Walk or jog","Total people - age group","Total people - sex","2018",21,
"Puhoi Valley","School bus","Total people - age group","Total people - sex","2018",309,
"Puhoi Valley","Public bus","Total people - age group","Total people - sex","2018",24,
"Puhoi Valley","Train","Total people - age group","Total people - sex","2018",0,
"Puhoi Valley","Ferry","Total people - age group","Total people - sex","2018",0,
"Puhoi Valley","Other","Total people - age group","Total people - sex","2018",0,
"Warkworth East","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",651,
"Warkworth East","Study at home","Total people - age group","Total people - sex","2018",48,
"Warkworth East","Drive a car, truck or van","Total people - age group","Total people - sex","2018",72,
"Warkworth East","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",318,
"Warkworth East","Bicycle","Total people - age group","Total people - sex","2018",3,
"Warkworth East","Walk or jog","Total people - age group","Total people - sex","2018",180,
"Warkworth East","School bus","Total people - age group","Total people - sex","2018",21,
"Warkworth East","Public bus","Total people - age group","Total people - sex","2018",9,
"Warkworth East","Train","Total people - age group","Total people - sex","2018",0,
"Warkworth East","Ferry","Total people - age group","Total people - sex","2018",0,
"Warkworth East","Other","Total people - age group","Total people - sex","2018",3,
"Sandspit","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",165,
"Sandspit","Study at home","Total people - age group","Total people - sex","2018",15,
"Sandspit","Drive a car, truck or van","Total people - age group","Total people - sex","2018",24,
"Sandspit","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",60,
"Sandspit","Bicycle","Total people - age group","Total people - sex","2018",0,
"Sandspit","Walk or jog","Total people - age group","Total people - sex","2018",3,
"Sandspit","School bus","Total people - age group","Total people - sex","2018",57,
"Sandspit","Public bus","Total people - age group","Total people - sex","2018",6,
"Sandspit","Train","Total people - age group","Total people - sex","2018",0,
"Sandspit","Ferry","Total people - age group","Total people - sex","2018",0,
"Sandspit","Other","Total people - age group","Total people - sex","2018",0,
"Tawharanui Peninsula","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",306,
"Tawharanui Peninsula","Study at home","Total people - age group","Total people - sex","2018",15,
"Tawharanui Peninsula","Drive a car, truck or van","Total people - age group","Total people - sex","2018",27,
"Tawharanui Peninsula","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",78,
"Tawharanui Peninsula","Bicycle","Total people - age group","Total people - sex","2018",0,
"Tawharanui Peninsula","Walk or jog","Total people - age group","Total people - sex","2018",6,
"Tawharanui Peninsula","School bus","Total people - age group","Total people - sex","2018",177,
"Tawharanui Peninsula","Public bus","Total people - age group","Total people - sex","2018",3,
"Tawharanui Peninsula","Train","Total people - age group","Total people - sex","2018",0,
"Tawharanui Peninsula","Ferry","Total people - age group","Total people - sex","2018",0,
"Tawharanui Peninsula","Other","Total people - age group","Total people - sex","2018",0,
"Te Kuru","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",654,
"Te Kuru","Study at home","Total people - age group","Total people - sex","2018",36,
"Te Kuru","Drive a car, truck or van","Total people - age group","Total people - sex","2018",57,
"Te Kuru","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",339,
"Te Kuru","Bicycle","Total people - age group","Total people - sex","2018",0,
"Te Kuru","Walk or jog","Total people - age group","Total people - sex","2018",21,
"Te Kuru","School bus","Total people - age group","Total people - sex","2018",162,
"Te Kuru","Public bus","Total people - age group","Total people - sex","2018",30,
"Te Kuru","Train","Total people - age group","Total people - sex","2018",0,
"Te Kuru","Ferry","Total people - age group","Total people - sex","2018",0,
"Te Kuru","Other","Total people - age group","Total people - sex","2018",6,
"Barrier Islands","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",138,
"Barrier Islands","Study at home","Total people - age group","Total people - sex","2018",15,
"Barrier Islands","Drive a car, truck or van","Total people - age group","Total people - sex","2018",9,
"Barrier Islands","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",54,
"Barrier Islands","Bicycle","Total people - age group","Total people - sex","2018",0,
"Barrier Islands","Walk or jog","Total people - age group","Total people - sex","2018",27,
"Barrier Islands","School bus","Total people - age group","Total people - sex","2018",27,
"Barrier Islands","Public bus","Total people - age group","Total people - sex","2018",0,
"Barrier Islands","Train","Total people - age group","Total people - sex","2018",0,
"Barrier Islands","Ferry","Total people - age group","Total people - sex","2018",0,
"Barrier Islands","Other","Total people - age group","Total people - sex","2018",0,
"Algies Bay-Scotts Landing","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",147,
"Algies Bay-Scotts Landing","Study at home","Total people - age group","Total people - sex","2018",12,
"Algies Bay-Scotts Landing","Drive a car, truck or van","Total people - age group","Total people - sex","2018",18,
"Algies Bay-Scotts Landing","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",54,
"Algies Bay-Scotts Landing","Bicycle","Total people - age group","Total people - sex","2018",3,
"Algies Bay-Scotts Landing","Walk or jog","Total people - age group","Total people - sex","2018",3,
"Algies Bay-Scotts Landing","School bus","Total people - age group","Total people - sex","2018",54,
"Algies Bay-Scotts Landing","Public bus","Total people - age group","Total people - sex","2018",6,
"Algies Bay-Scotts Landing","Train","Total people - age group","Total people - sex","2018",0,
"Algies Bay-Scotts Landing","Ferry","Total people - age group","Total people - sex","2018",0,
"Algies Bay-Scotts Landing","Other","Total people - age group","Total people - sex","2018",0,
"Inlets other Auckland","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",3,
"Inlets other Auckland","Study at home","Total people - age group","Total people - sex","2018",,c
"Inlets other Auckland","Drive a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlets other Auckland","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlets other Auckland","Bicycle","Total people - age group","Total people - sex","2018",,c
"Inlets other Auckland","Walk or jog","Total people - age group","Total people - sex","2018",,c
"Inlets other Auckland","School bus","Total people - age group","Total people - sex","2018",,c
"Inlets other Auckland","Public bus","Total people - age group","Total people - sex","2018",,c
"Inlets other Auckland","Train","Total people - age group","Total people - sex","2018",,c
"Inlets other Auckland","Ferry","Total people - age group","Total people - sex","2018",,c
"Inlets other Auckland","Other","Total people - age group","Total people - sex","2018",,c
"Wainui-Waiwera","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",369,
